Polygons,Generation,MSE
250,0,25723.447106481482
250,1000,13768.102708333334
250,2000,9164.091041666667
250,3000,7011.357708333333
250,4000,6211.828680555555
250,5000,5773.790092592592
250,6000,5336.586805555556
250,7000,5117.7311805555555
250,8000,4896.379259259259
250,9000,4678.869930555556
250,10000,4596.579606481481
250,11000,4431.617800925926
250,12000,4264.957337962963
250,13000,4160.918101851852
250,14000,4044.4930324074076
250,15000,3939.9341666666664
250,16000,3832.544513888889
250,17000,3751.9569444444446
250,18000,3689.0055324074074
250,19000,3587.7034027777777
250,19999,3531.563472222222
