Polygons,Generation,bestMSE,currentMSE
250,1,14274.126550925926,14274.194953703704
250,2,14274.126550925926,14274.188333333334
250,3,14274.126550925926,14274.324537037037
250,4,14274.126550925926,14274.324537037037
250,5,14274.126550925926,14274.363055555556
250,6,14274.126550925926,14315.967060185185
250,7,14274.126550925926,14315.969907407407
250,8,14274.126550925926,14326.909166666666
250,9,14274.126550925926,14327.151018518518
250,10,14274.126550925926,14328.143310185185
250,11,14274.126550925926,14328.147731481482
250,12,14274.126550925926,14367.922337962964
250,13,14274.126550925926,14367.922337962964
250,14,14274.126550925926,14367.595833333333
250,15,14274.126550925926,14363.047060185185
250,16,14274.126550925926,14363.041273148148
250,17,14274.126550925926,14361.969675925926
250,18,14274.126550925926,14357.277222222223
250,19,14274.126550925926,14357.531712962964
250,20,14246.603449074075,14246.603449074075
250,21,14243.354537037038,14243.354537037038
250,22,14243.354537037038,14362.969907407407
250,23,14243.354537037038,14363.013726851852
250,24,14243.354537037038,14247.392546296296
250,25,14243.354537037038,14247.294768518519
250,26,14243.354537037038,14247.133101851852
250,27,14243.354537037038,14259.234907407408
250,28,14243.354537037038,14259.307708333334
250,29,14243.354537037038,14259.307708333334
250,30,14243.354537037038,14259.389027777777
250,31,14243.354537037038,14258.593773148148
250,32,14243.354537037038,14338.936574074074
250,33,14243.354537037038,14338.9875
250,34,14243.354537037038,14339.75224537037
250,35,14243.354537037038,14338.427800925925
250,36,14243.354537037038,14337.759444444444
250,37,14243.354537037038,14337.248194444444
250,38,14243.354537037038,14351.14173611111
250,39,14243.354537037038,14351.205393518518
250,40,14243.354537037038,14351.169675925927
250,41,14243.354537037038,14351.188310185185
250,42,14243.354537037038,14347.385162037037
250,43,14243.354537037038,14326.634074074074
250,44,14243.354537037038,14309.439675925925
250,45,14243.354537037038,14309.440023148149
250,46,14243.354537037038,14331.352476851851
250,47,14243.354537037038,14331.352476851851
250,48,14243.354537037038,14367.913773148148
250,49,14243.354537037038,14363.2025
250,50,14243.354537037038,14363.057430555555
250,51,14243.354537037038,14347.196643518519
250,52,14243.354537037038,14353.895833333334
250,53,14243.354537037038,14353.895833333334
250,54,14243.354537037038,14411.960486111111
250,55,14243.354537037038,14412.124166666666
250,56,14243.354537037038,14419.244282407408
250,57,14243.354537037038,14870.666898148149
250,58,14243.354537037038,14867.744513888889
250,59,14243.354537037038,14874.259027777778
250,60,14243.354537037038,14874.259027777778
250,61,14243.354537037038,14875.751921296296
250,62,14243.354537037038,14875.677083333334
250,63,14243.354537037038,14871.399398148149
250,64,14243.354537037038,14871.399398148149
250,65,14243.354537037038,14868.450231481482
250,66,14243.354537037038,14862.365763888889
250,67,14243.354537037038,14863.752685185185
