Polygons,Generation,MSE
250,0,39581.46965277778
250,1000,24519.962453703705
250,2000,18247.624884259258
250,3000,15272.53
250,4000,14139.911689814815
250,5000,12146.11212962963
250,6000,10592.930231481481
250,7000,9937.46224537037
250,8000,9172.147106481481
250,9000,8432.681597222223
250,10000,7884.850648148148
250,11000,7377.468657407408
250,12000,6833.729351851852
250,13000,6553.139537037037
250,14000,6245.753287037037
250,15000,5663.513217592593
250,16000,5233.740208333334
250,17000,5018.8521527777775
250,18000,4846.317152777778
250,19000,4703.024837962963
250,19999,4597.861875
