Polygons,Generation,bestMSE,currentMSE
250,1,44776.453148148146,44776.453148148146
250,2,44776.453148148146,44776.54708333333
250,3,44776.453148148146,44781.71946759259
250,4,44776.453148148146,44794.54604166667
250,5,44776.453148148146,44794.352685185186
250,6,44776.453148148146,44794.711689814816
250,7,44776.453148148146,44835.694027777776
250,8,44776.453148148146,44836.831666666665
250,9,44776.453148148146,44845.177083333336
250,10,44776.453148148146,44843.199791666666
250,11,44776.453148148146,44861.63548611111
250,12,44776.453148148146,44861.63548611111
250,13,44776.453148148146,44861.65085648148
250,14,44776.453148148146,44876.79923611111
250,15,44776.453148148146,44876.657800925925
250,16,44776.453148148146,44874.49497685185
250,17,44776.453148148146,44828.16724537037
250,18,44776.453148148146,44828.16724537037
250,19,44776.453148148146,44829.738703703704
250,20,44776.453148148146,44832.44645833333
250,21,44776.453148148146,44832.02578703704
250,22,44564.38046296296,44564.38046296296
250,23,44564.38046296296,44564.38046296296
250,24,44531.60259259259,44531.60259259259
250,25,44531.60259259259,44531.68777777778
250,26,44519.95125,44519.95125
250,27,44519.95125,44529.95537037037
250,28,44518.931342592594,44518.931342592594
250,29,44518.931342592594,44520.830925925926
250,30,44518.931342592594,44520.80844907407
250,31,44288.505833333336,44288.505833333336
250,32,44286.17925925926,44286.17925925926
250,33,44285.958125,44285.958125
250,34,44284.685277777775,44284.685277777775
250,35,44284.685277777775,44285.501851851855
250,36,44284.685277777775,44285.501851851855
250,37,44284.685277777775,44295.93777777778
250,38,44284.685277777775,44299.19569444445
250,39,44284.685277777775,44299.521944444445
250,40,44284.685277777775,44299.521944444445
250,41,44241.806435185186,44241.806435185186
250,42,44241.806435185186,44241.82581018518
250,43,44241.806435185186,44241.82581018518
250,44,44080.125393518516,44080.125393518516
250,45,44080.125393518516,44080.276875
250,46,44080.125393518516,44283.01261574074
250,47,44080.125393518516,44283.01261574074
250,48,44080.125393518516,44169.872152777774
250,49,44080.125393518516,44163.22310185185
250,50,44080.125393518516,44154.286527777775
250,51,44080.125393518516,44154.53942129629
250,52,43979.302199074074,43979.302199074074
250,53,43879.66375,43879.66375
250,54,43242.082662037035,43242.082662037035
250,55,43226.75766203704,43226.75766203704
250,56,43138.161944444444,43138.161944444444
250,57,43138.161944444444,43138.161944444444
250,58,43130.216412037036,43130.216412037036
250,59,43130.216412037036,43133.18581018518
250,60,42597.18388888889,42597.18388888889
250,61,42564.27935185185,42564.27935185185
250,62,42564.27935185185,42568.61837962963
250,63,42564.27935185185,42569.239212962966
250,64,42564.27935185185,42569.239212962966
250,65,42408.44002314815,42408.44002314815
250,66,42287.06912037037,42287.06912037037
250,67,42287.06912037037,42287.073171296295
250,68,42287.06912037037,42287.073171296295
250,69,42287.06912037037,42287.073171296295
250,70,42287.06912037037,42287.3675
250,71,42287.06912037037,42288.68715277778
250,72,42287.06912037037,42288.68715277778
250,73,42287.06912037037,42288.55837962963
250,74,42287.06912037037,42288.55837962963
250,75,42287.06912037037,42311.72375
250,76,42247.73925925926,42247.73925925926
250,77,42247.73925925926,42247.73925925926
250,78,42245.5137962963,42245.5137962963
250,79,41735.56085648148,41735.56085648148
250,80,41735.56085648148,41735.56085648148
250,81,41735.509375,41735.509375
250,82,41681.87467592592,41681.87467592592
250,83,41678.87634259259,41678.87634259259
250,84,41678.87634259259,41678.87634259259
250,85,41678.87634259259,41678.87634259259
250,86,41212.88481481482,41212.88481481482
250,87,41212.88481481482,41421.86282407407
250,88,41212.88481481482,41347.70773148148
250,89,41212.88481481482,41349.96113425926
250,90,41212.88481481482,41349.96113425926
250,91,41043.46569444444,41043.46569444444
250,92,41043.46569444444,41048.5499537037
250,93,41043.46569444444,41047.966828703706
250,94,41043.46569444444,41098.50048611111
250,95,41043.46569444444,41098.71467592593
250,96,41043.46569444444,41098.80613425926
250,97,40693.1249537037,40693.1249537037
250,98,40616.77442129629,40616.77442129629
250,99,40592.95025462963,40592.95025462963
250,100,40592.95025462963,40592.95025462963
250,101,40592.95025462963,40602.638703703706
250,102,40592.95025462963,40936.89601851852
250,103,40592.95025462963,40937.451203703706
250,104,40592.95025462963,40937.558333333334
250,105,40592.95025462963,40936.754699074074
250,106,40592.95025462963,40946.25148148148
250,107,40592.95025462963,40946.99171296296
250,108,40592.95025462963,40931.52101851852
250,109,40592.95025462963,40930.847546296296
250,110,40592.95025462963,40930.847546296296
250,111,40592.95025462963,40823.79
250,112,40592.95025462963,41149.226273148146
250,113,40592.95025462963,41149.226273148146
250,114,40592.95025462963,41148.90645833333
250,115,40592.95025462963,41150.911203703705
