Polygons,Generation,bestMSE,currentMSE
250,1,43219.28456018519,43219.28456018519
250,2,43219.27553240741,43219.27553240741
250,3,43211.01483796296,43211.01483796296
250,4,43211.01483796296,43211.01483796296
250,5,43211.01483796296,43216.86064814815
250,6,43211.01483796296,43216.86064814815
250,7,43211.01483796296,43216.86064814815
250,8,43211.01483796296,43217.438101851854
250,9,43211.01483796296,43217.438101851854
250,10,43205.934166666666,43205.934166666666
250,11,41559.70229166667,41559.70229166667
250,12,41559.60532407407,41559.60532407407
250,13,41559.60532407407,41559.60532407407
250,14,41559.60532407407,41559.60532407407
250,15,41551.73810185185,41551.73810185185
250,16,41551.73810185185,41551.73810185185
250,17,41551.61224537037,41551.61224537037
250,18,41551.61224537037,41553.577199074076
250,19,41551.61224537037,41554.99229166667
250,20,41551.61224537037,41555.21055555555
250,21,41551.61224537037,41555.21055555555
250,22,41551.61224537037,41554.08986111111
250,23,41551.61224537037,41553.765694444446
250,24,41542.7087962963,41542.7087962963
250,25,41542.64879629629,41542.64879629629
250,26,41542.64879629629,41555.52606481482
250,27,41542.64879629629,41552.60988425926
250,28,41542.64879629629,41555.17837962963
250,29,41542.64879629629,41587.46655092593
250,30,41542.64879629629,41587.46655092593
250,31,41406.666180555556,41406.666180555556
250,32,41406.666180555556,41406.666180555556
250,33,41318.71289351852,41318.71289351852
250,34,41318.71289351852,41365.95925925926
250,35,41318.71289351852,41332.87706018519
250,36,41316.96215277778,41316.96215277778
250,37,41316.96215277778,41316.96215277778
250,38,41306.27625,41306.27625
250,39,41306.27625,41306.27625
250,40,41306.27625,41306.276875
250,41,41306.27625,41306.276875
250,42,41287.54835648148,41287.54835648148
250,43,41287.54835648148,41287.54835648148
250,44,41287.54835648148,41287.54835648148
250,45,41287.22145833333,41287.22145833333
250,46,41287.22145833333,41287.2355787037
250,47,41287.22145833333,41291.8855787037
250,48,41279.33347222222,41279.33347222222
250,49,41279.33347222222,41279.33347222222
250,50,41279.33347222222,41283.816041666665
250,51,41275.401458333334,41275.401458333334
250,52,41275.401458333334,41275.401458333334
250,53,41275.401458333334,41275.401458333334
250,54,41275.401458333334,41276.109930555554
250,55,41185.80280092593,41185.80280092593
250,56,41185.76907407407,41185.76907407407
250,57,41185.76907407407,41185.76907407407
250,58,41185.76907407407,41186.42418981482
250,59,41185.76907407407,41186.74900462963
250,60,41185.76907407407,41186.75550925926
250,61,41185.76907407407,41186.75550925926
250,62,41168.05520833333,41168.05520833333
250,63,41168.05520833333,41168.05520833333
250,64,41168.05520833333,41168.05520833333
250,65,41156.70263888889,41156.70263888889
250,66,41156.70263888889,41156.70263888889
250,67,41154.347337962965,41154.347337962965
250,68,41135.41400462963,41135.41400462963
250,69,41135.41400462963,41139.814884259256
250,70,41032.5125,41032.5125
250,71,41032.5125,41032.53895833333
250,72,41032.5125,41036.630277777775
250,73,41032.5125,41036.630277777775
250,74,41032.5125,41048.31270833333
250,75,41032.5125,41048.31270833333
250,76,40909.76949074074,40909.76949074074
250,77,40909.76949074074,40909.76949074074
250,78,40899.52462962963,40899.52462962963
250,79,40899.52462962963,40899.549629629626
250,80,40898.24375,40898.24375
250,81,40898.24375,40898.24375
250,82,40898.24375,40914.352685185186
250,83,40898.24375,40916.08530092592
250,84,40898.24375,40916.08530092592
250,85,40898.24375,40916.08530092592
250,86,40898.24375,40916.08530092592
250,87,40898.24375,40916.142916666664
250,88,40647.06842592593,40647.06842592593
250,89,40647.06842592593,40647.06842592593
250,90,40621.91136574074,40621.91136574074
250,91,40621.91136574074,40621.91136574074
250,92,40621.91136574074,40621.91136574074
250,93,40621.007268518515,40621.007268518515
250,94,40615.28296296296,40615.28296296296
250,95,40615.28296296296,40615.41421296296
250,96,40608.00268518519,40608.00268518519
250,97,40606.26199074074,40606.26199074074
250,98,40606.26199074074,40606.26199074074
250,99,40606.124027777776,40606.124027777776
250,100,40606.124027777776,40606.124027777776
250,101,40601.976689814815,40601.976689814815
250,102,40592.36604166667,40592.36604166667
250,103,40592.36604166667,40592.36604166667
250,104,40592.36604166667,40592.36604166667
250,105,40592.209814814814,40592.209814814814
250,106,40592.17217592592,40592.17217592592
250,107,40592.13333333333,40592.13333333333
250,108,40432.823171296295,40432.823171296295
250,109,40432.823171296295,40432.823171296295
250,110,40432.823171296295,40433.087847222225
250,111,40432.823171296295,40433.087847222225
250,112,40432.823171296295,40439.49046296296
250,113,40432.823171296295,40439.49046296296
250,114,40432.823171296295,40439.49046296296
250,115,40427.053935185184,40427.053935185184
250,116,40427.053935185184,40427.053935185184
250,117,40427.053935185184,40427.053935185184
250,118,40427.053935185184,40427.277708333335
250,119,40427.053935185184,40427.277708333335
250,120,40365.34953703704,40365.34953703704
250,121,40365.34953703704,40365.34953703704
250,122,40365.34953703704,40366.41428240741
250,123,40365.34953703704,40369.35298611111
250,124,40365.34953703704,40369.35298611111
250,125,40365.34953703704,40369.35298611111
250,126,40365.34953703704,40369.35298611111
250,127,40298.959375,40298.959375
250,128,40298.959375,40300.0850462963
250,129,40298.959375,40300.36400462963
250,130,40298.959375,40300.36400462963
250,131,40298.959375,40301.12793981482
250,132,40290.10986111111,40290.10986111111
250,133,40288.841412037036,40288.841412037036
250,134,40288.841412037036,40294.21921296296
250,135,40286.30664351852,40286.30664351852
250,136,40286.30664351852,40287.40398148148
250,137,40286.30664351852,40294.801875
250,138,40233.255902777775,40233.255902777775
250,139,40233.255902777775,40233.36203703703
250,140,40233.255902777775,40233.35886574074
250,141,40233.255902777775,40233.35886574074
250,142,40231.635671296295,40231.635671296295
250,143,40231.635671296295,40231.635671296295
250,144,40221.557916666665,40221.557916666665
250,145,40221.55164351852,40221.55164351852
250,146,40221.53833333333,40221.53833333333
250,147,40221.53833333333,40221.57685185185
250,148,40221.53833333333,40221.57685185185
250,149,40221.53833333333,40221.57685185185
250,150,40221.53833333333,40221.57685185185
250,151,40221.53833333333,40221.670069444444
250,152,40221.53833333333,40224.66976851852
250,153,40159.56875,40159.56875
250,154,40150.002962962964,40150.002962962964
250,155,40150.002962962964,40150.002962962964
250,156,40150.002962962964,40150.00729166667
250,157,40150.002962962964,40150.635416666664
250,158,40145.68335648148,40145.68335648148
250,159,40143.74548611111,40143.74548611111
250,160,40143.74548611111,40143.74548611111
250,161,40143.74548611111,40143.74548611111
250,162,40143.74548611111,40143.74548611111
250,163,40141.7556712963,40141.7556712963
250,164,40126.38606481482,40126.38606481482
250,165,40126.38606481482,40126.38606481482
250,166,40126.38606481482,40126.38606481482
250,167,40126.38606481482,40126.577569444446
250,168,40126.38606481482,40126.577569444446
250,169,40126.38606481482,40126.550208333334
250,170,40126.38606481482,40126.556342592594
250,171,40126.38606481482,40126.556342592594
250,172,40126.38606481482,40126.873703703706
250,173,40126.02960648148,40126.02960648148
250,174,40126.022939814815,40126.022939814815
250,175,40104.86206018519,40104.86206018519
250,176,40104.853171296294,40104.853171296294
250,177,40104.853171296294,40104.853171296294
250,178,40103.63178240741,40103.63178240741
250,179,40103.63178240741,40105.23092592593
250,180,40103.63178240741,40105.23092592593
250,181,40103.63178240741,40105.61483796296
250,182,40103.63178240741,40105.67560185185
250,183,40103.63178240741,40105.59847222222
250,184,40103.63178240741,40105.59847222222
250,185,39640.62527777778,39640.62527777778
250,186,39640.62527777778,39649.799305555556
250,187,39640.62527777778,39649.799305555556
250,188,39640.62527777778,39649.799305555556
250,189,39640.62527777778,39649.799305555556
250,190,39611.0825,39611.0825
250,191,39611.0825,39611.0825
250,192,39611.0825,39611.0825
250,193,39609.18601851852,39609.18601851852
250,194,39609.18601851852,39609.19905092593
250,195,39609.18601851852,39609.19905092593
250,196,39609.18601851852,39609.19905092593
250,197,39609.18601851852,39609.24287037037
250,198,39609.18601851852,39609.24287037037
250,199,39609.18601851852,39609.245787037034
250,200,39609.18601851852,39609.245787037034
250,201,39608.669490740744,39608.669490740744
250,202,39608.567708333336,39608.567708333336
250,203,39608.567708333336,39608.567708333336
250,204,39608.567708333336,39608.57710648148
250,205,39190.43981481482,39190.43981481482
250,206,39190.43981481482,39201.38398148148
250,207,39190.43981481482,39201.38398148148
250,208,39190.43981481482,39200.463796296295
250,209,39190.43981481482,39199.79530092593
250,210,39190.43981481482,39199.79530092593
250,211,39190.43981481482,39199.79530092593
250,212,39190.43981481482,39199.83293981481
250,213,39190.43981481482,39195.72638888889
250,214,39190.43981481482,39195.72638888889
250,215,39166.50861111111,39166.50861111111
250,216,39166.50861111111,39166.50861111111
250,217,39163.48113425926,39163.48113425926
250,218,39104.39011574074,39104.39011574074
250,219,39104.39011574074,39104.39011574074
250,220,39104.36539351852,39104.36539351852
250,221,39104.36539351852,39107.92587962963
250,222,39104.36539351852,39107.45349537037
250,223,39092.45324074074,39092.45324074074
250,224,39092.45324074074,39092.672685185185
250,225,39092.45324074074,39092.672685185185
250,226,39092.45324074074,39094.540300925924
250,227,39025.88979166667,39025.88979166667
250,228,39025.88979166667,39025.88979166667
250,229,39025.88979166667,39025.88979166667
250,230,39025.88979166667,39025.94023148148
250,231,39025.88979166667,39025.94023148148
250,232,39025.88979166667,39025.94023148148
250,233,39025.88979166667,39025.9350462963
250,234,39025.88979166667,39037.120300925926
250,235,39025.88979166667,39033.00696759259
250,236,39025.88979166667,39033.00696759259
250,237,39025.88979166667,39033.00696759259
250,238,39025.88979166667,39029.769837962966
250,239,39025.88979166667,39029.782685185186
250,240,39010.57976851852,39010.57976851852
250,241,39009.270462962966,39009.270462962966
250,242,39009.18921296296,39009.18921296296
250,243,39009.18921296296,39010.643125
250,244,39009.18921296296,39010.63784722222
250,245,39006.785625,39006.785625
250,246,39006.785625,39006.82474537037
250,247,38989.16842592593,38989.16842592593
250,248,38989.16842592593,38989.16842592593
250,249,38974.87671296296,38974.87671296296
250,250,38974.87671296296,38974.87671296296
250,251,38974.87671296296,38974.87671296296
250,252,38974.87671296296,38977.512037037035
250,253,38974.87671296296,38975.80863425926
250,254,38728.92136574074,38728.92136574074
250,255,38728.92136574074,38728.92136574074
250,256,38728.23222222222,38728.23222222222
250,257,38728.23222222222,38728.23222222222
250,258,38728.23222222222,38728.23222222222
250,259,38728.23222222222,38728.23222222222
250,260,38728.23222222222,38728.23222222222
250,261,38728.23222222222,38728.23222222222
250,262,38728.23222222222,38728.43164351852
250,263,38727.78259259259,38727.78259259259
250,264,38727.78259259259,38729.03662037037
250,265,38727.78259259259,38728.7974537037
250,266,38727.78259259259,38728.7974537037
250,267,38674.54122685185,38674.54122685185
250,268,38674.54122685185,38674.54122685185
250,269,38674.54122685185,38674.54122685185
250,270,38674.54122685185,38674.54122685185
250,271,38671.820601851854,38671.820601851854
250,272,38627.93094907407,38627.93094907407
250,273,38627.93094907407,38628.04377314815
250,274,38627.93094907407,38628.04377314815
250,275,38627.80613425926,38627.80613425926
250,276,38627.80613425926,38627.80613425926
250,277,38627.80613425926,38627.80613425926
250,278,38552.79576388889,38552.79576388889
250,279,38486.11907407407,38486.11907407407
250,280,38486.11907407407,38486.11907407407
250,281,38486.11907407407,38486.11907407407
250,282,38485.17016203704,38485.17016203704
250,283,38485.17016203704,38485.27138888889
250,284,38472.90851851852,38472.90851851852
250,285,38466.30520833333,38466.30520833333
250,286,38463.757893518516,38463.757893518516
250,287,38463.71726851852,38463.71726851852
250,288,38463.71726851852,38463.71726851852
250,289,38463.71726851852,38478.28192129629
250,290,38463.71726851852,38491.776296296295
250,291,38463.71726851852,38491.776296296295
250,292,38463.71726851852,38487.83
250,293,38463.71726851852,38487.83
250,294,38463.71726851852,38487.83
250,295,38463.71726851852,38487.82423611111
250,296,38463.71726851852,38477.794537037036
250,297,38463.71726851852,38477.794537037036
250,298,38463.71726851852,38502.67025462963
250,299,38463.71726851852,38508.728796296295
250,300,38463.71726851852,38508.728796296295
250,301,38463.71726851852,38508.728796296295
250,302,38463.71726851852,38508.728796296295
250,303,38463.71726851852,38508.77743055556
250,304,38463.71726851852,38497.36388888889
250,305,38457.08678240741,38457.08678240741
250,306,38457.08678240741,38463.80923611111
250,307,38457.08678240741,38463.311574074076
250,308,38457.08678240741,38462.51576388889
250,309,38457.08678240741,38466.29539351852
250,310,38457.08678240741,38466.29539351852
250,311,38457.08678240741,38466.32025462963
250,312,38457.08678240741,38460.286087962966
250,313,38457.08678240741,38460.1875
